case_id,tool,ground_truth_total,recovered_total,TP,FP,FN,recovery_rate,fpr_noise_rate,completeness,tta_seconds,note
case1,regex_baseline,4,3477,4,3473,0,1.0,0.9988,0.3333,88.0278,"Regex baseline only evaluates URL recovery, not tab/window/tab-group context"
case2,regex_baseline,4,0,N/A,N/A,N/A,N/A,N/A,N/A,,Regex baseline does not support tab-group recovery
case3,regex_baseline,10,3231,10,3221,0,1.0,0.9969,0.25,89.7551,"Regex baseline only evaluates URL recovery, not tab/window/tab-group context"
