case_id,tool,artifact_type,ground_truth_total,recovered_total,TP,FP,FN,recovery_rate,fpr_noise_rate,completeness,tta_seconds,note
case1,chracer,url,4,4,4,0,0,1.0,0.0,1.0,,Chracer evaluation against ground truth
case2,chracer,tab_group,4,4,4,0,0,1.0,0.0,1.0,,Chracer evaluation against ground truth
case3,chracer,url,10,10,10,0,0,1.0,0.0,0.95,,Chracer evaluation against ground truth
